seqname	DTT	PH	EW	DTT_F	PH_F	EW_F	DTT_M	PH_M	EW_M	MPH.DTT	MPH.PH	MPH.EW
MG_1218_X_MG_1522	61.227674641003	259.661114535097	232.098336902636	66.011571978243	213.153238625343	103.488655065116	68.8675635466986	167.41828375895	117.839506937584	-0.0921105120861204	0.364585100368581	1.09732313143055
MG_432_X_MG_1522	62.0234956464324	248.556564704788	234.743482111966	64.9645145554776	193.348335791728	101.241410210751	68.8675635466986	167.41828375895	117.839506937584	-0.0731146594155164	0.377935492005088	1.14298429244776
MG_686_X_MG_1522	61.3868388420888	269.269622367417	212.059358044072	66.1860815487039	206.746366382473	78.66374373484	68.8675635466986	167.41828375895	117.839506937584	-0.0909265899676404	0.439310860957288	1.1583292624261
MG_1131_X_MG_1522	62.5009882496901	263.846470124708	239.212174397426	70.5488208102264	213.706190775188	118.307481322996	68.8675635466986	167.41828375895	117.839506937584	-0.103391060699451	0.384568495356888	1.02595998500276
MG_1219_X_MG_1522	63.2968092551195	277.73828867746	224.285807011644	67.2331389714693	226.276636314998	94.4736959018655	68.8675635466986	167.41828375895	117.839506937584	-0.0698533059126555	0.410931533611316	1.11278247430753
MG_121_X_MG_1522	62.8193166518619	NA	221.132562365042	66.5351006896257	195.855052204359	104.086188392148	68.8675635466986	167.41828375895	117.839506937584	-0.0721110695101163	NA	0.992852265588159
MG_158_X_MG_1522	59.9543610323158	251.984994283512	203.744517749692	62.8703997099468	192.62949799693	85.1106086266832	68.8675635466986	167.41828375895	117.839506937584	-0.0897937154908692	0.399730852692008	1.00782854627322
MG_720_X_MG_1522	61.5460030431747	297.311504817811	236.058039125088	67.0586294010084	262.605592559814	107.589552202644	68.8675635466986	167.41828375895	117.839506937584	-0.0944202628134751	0.382767428464473	1.09429999863725
MG_1043_X_MG_1522	NA	279.830966472265	237.051081850737	65.8370624077821	240.533585911835	66.7481500092259	68.8675635466986	167.41828375895	117.839506937584	NA	0.371882260022915	1.56843914454199
MG_1054_X_MG_1522	61.7051672442606	268.859991820348	210.376083819953	67.0586294010084	211.148787082155	69.0967157412369	68.8675635466986	167.41828375895	117.839506937584	-0.0920783418395369	0.420408759921942	1.25077923160355
MG_540_X_MG_1522	60.5910178366594	276.420346917327	221.43760014988	66.5351006896257	245.35348548465	101.098521803749	68.8675635466986	167.41828375895	117.839506937584	-0.105024732291719	0.339337462074329	1.02283359746059
MG_124_X_MG_1522	62.0234956464324	268.014015690533	216.361058839044	64.6154954145558	203.319906227267	96.0597571619047	68.8675635466986	167.41828375895	117.839506937584	-0.0706911254643077	0.445839802478925	1.02301826282497
MG_426_X_MG_1522	62.1826598475183	280.614607518831	228.705069815919	65.1390241259385	236.165263928059	100.973819198538	68.8675635466986	167.41828375895	117.839506937584	-0.0719462240255908	0.390614702343892	1.09041262572503
MG_165_X_MG_1522	62.3418240486042	271.077339781653	230.48453113856	65.1390241259385	227.622153212954	105.985305145492	68.8675635466986	167.41828375895	117.839506937584	-0.0695707557169025	0.372402996814893	1.05950831807702
MG_790_X_MG_1522	62.0234956464324	258.788423369603	213.723929221257	66.5351006896257	222.184790406145	105.276059078349	68.8675635466986	167.41828375895	117.839506937584	-0.083865949074975	0.328472183768965	0.915813701729755
MG_898_X_MG_1522	61.0685104399171	264.861641480486	226.273673714413	61.2998135757987	203.058175543007	81.4734493085213	68.8675635466986	167.41828375895	117.839506937584	-0.0616925409436954	0.429843299515073	1.2705365268379
MG_1220_X_MG_1522	60.4318536355735	284.212232323518	218.097770340119	66.7096102600866	263.720712728669	81.8137835013926	68.8675635466986	167.41828375895	117.839506937584	-0.108524658853022	0.318425077011932	1.18476509814177
MG_876_X_MG_1522	61.227674641003	259.76797467781	218.415722138008	68.4547059646956	233.599565952779	102.002615691536	68.8675635466986	167.41828375895	117.839506937584	-0.108262995377852	0.295543202700547	0.987023410490642
MG_1406_X_MG_1522	61.3868388420889	NA	254.483212219576	68.6292155351565	239.363170527996	105.011066042274	68.8675635466986	167.41828375895	117.839506937584	-0.107079609398794	NA	1.28389102901321
MG_1316_X_MG_1522	NA	NA	NA	66.011571978243	214.065609672588	97.1236262626191	68.8675635466986	167.41828375895	117.839506937584	NA	NA	NA
MG_1152_X_MG_1522	62.3418240486042	286.465200332393	251.830051418702	69.8507825283828	224.050082324956	95.0036819740162	68.8675635466986	167.41828375895	117.839506937584	-0.101174057902022	0.46354201335897	1.36634352930405
